Product Name,Maker,Color,Model,Category,Balance Qty,Minimum Qty,Discount %
UNIT IC -- LED SAM J805 BLACK,SAM,BLACK,J805,LED,37,1,0
UNIT -- LCD HUAWEI Y9 PRIME 2019 BLACK,HUAWEI,BLACK,Y9 PRIME 2019,LCD,0,1,0
UNIT -- LCD OPPO A1K BLACK,OPPO,BLACK,A1K,LCD,5,1,0
TOOLS BEST-ON FREEZER -220,BEST-ON,,FREEZER -220,TOOLS,3,1,0
UNIT COMP -- LED SAM A20 BLACK,SAM,BLACK,A20,LED,313,1,0
TOUCH GLASS HUAWEI HONOR 8 LITE BLUE,HUAWEI,BLUE,HONOR 8 LITE,TOUCH GLASS,726,5,0
TOUCH GLASS HUAWEI HONOR 8 LITE WHITE,HUAWEI,WHITE,HONOR 8 LITE,TOUCH GLASS,281,5,0
TOUCH GLASS HUAWEI HONOR 8 LITE GOLD,HUAWEI,GOLD,HONOR 8 LITE,TOUCH GLASS,764,5,0
TOUCH GLASS HUAWEI HONOR 8 LITE BLACK,HUAWEI,BLACK,HONOR 8 LITE,TOUCH GLASS,1198,5,0
TOUCH GLASS HUAWEI Y7 2019 BLACK,HUAWEI,BLACK,Y7 2019,TOUCH GLASS,2125,5,0
TOUCH GLASS HUAWEI 7C / Y7 2018 WHITE,HUAWEI,WHITE,7C / Y7 2018,TOUCH GLASS,748,5,0
TOUCH GLASS HUAWEI 7C / Y7 2018 BLACK,HUAWEI,BLACK,7C / Y7 2018,TOUCH GLASS,0,5,0
TOUCH GLASS HUAWEI Y6 2019 BLACK,HUAWEI,BLACK,Y6 2019,TOUCH GLASS,1358,5,0
TOUCH GLASS HUAWEI Y6 PRIME 2018 BLACK,HUAWEI,BLACK,Y6 PRIME 2018,TOUCH GLASS,423,5,0
TOUCH GLASS HUAWEI P20 LITE BLACK,HUAWEI,BLACK,P20 LITE,TOUCH GLASS,759,5,0
TOUCH GLASS HUAWEI Y9 2018 BLACK,HUAWEI,BLACK,Y9 2018,TOUCH GLASS,693,5,0
TOUCH GLASS HUAWEI MATE 10 LITE WHITE,HUAWEI,WHITE,MATE 10 LITE,TOUCH GLASS,1928,5,0
TOUCH GLASS HUAWEI MATE 10 LITE BLACK,HUAWEI,BLACK,MATE 10 LITE,TOUCH GLASS,20201,5,0
TOUCH GLASS HUAWEI Y3 2017 GOLD,HUAWEI,GOLD,Y3 2017,TOUCH GLASS,2406,5,0
TOUCH GLASS HUAWEI Y3 2017 WHITE,HUAWEI,WHITE,Y3 2017,TOUCH GLASS,319,5,0
TOUCH GLASS HUAWEI Y3 2017 BLACK,HUAWEI,BLACK,Y3 2017,TOUCH GLASS,1239,5,0
TOUCH GLASS HUAWEI Y5 2017 BLACK,HUAWEI,BLACK,Y5 2017,TOUCH GLASS,1256,5,0
TOUCH GLASS HUAWEI Y5 2017 WHITE,HUAWEI,WHITE,Y5 2017,TOUCH GLASS,816,5,0
TOUCH GLASS HUAWEI Y5 2017 GOLD,HUAWEI,GOLD,Y5 2017,TOUCH GLASS,1129,5,0
TOUCH GLASS HUAWEI P8 LITE GOLD,HUAWEI,GOLD,P8 LITE,TOUCH GLASS,445,5,0
TOUCH GLASS SAM 9082 WHITE,SAM,WHITE,9082,TOUCH GLASS,1719,5,0
